entry_date,exit_date,ticker,entry_price,exit_price,shares,pnl_pct,reason
2024-01-02,2024-01-18,AAOI,18.690000534057617,16.6200008392334,535.0454635770409,-11.075439463215574,STOP
2024-01-02,2024-02-01,PATH,23.799999237060547,23.110000610351562,420.1680806959162,-2.899153986671319,REBAL
2024-01-02,2024-02-01,NRG,49.103782653808594,52.37363815307617,203.65029860330685,6.6590704881550735,REBAL
2024-01-02,2024-02-07,CRWD,246.88999938964844,317.7799987792969,40.503868219537445,28.7131919336141,TAKE
2024-02-01,2024-02-12,AAOI,16.520000457763672,21.010000228881836,621.0881903834035,27.179174616838843,TAKE
2024-01-02,2024-03-04,ZS,212.3699951171875,214.22000122070312,47.087631162217235,0.8711240505019443,REBAL
2024-02-01,2024-03-04,AMD,170.47999572753906,205.36000061035156,60.18522669277607,20.459881368461367,REBAL
2024-02-01,2024-03-14,S,27.489999771118164,23.290000915527344,373.2403519415559,-15.278278976209625,STOP
2024-03-04,2024-03-14,COHR,66.88999938964844,59.72999954223633,159.90700945503386,-10.704140996778294,STOP
2024-03-04,2024-03-19,SMCI,107.43399810791016,91.09700012207031,99.56047390235013,-15.20654380695247,STOP
2024-03-04,2024-04-03,CRWD,313.80999755859375,320.0400085449219,34.08489164801246,1.9852812322095872,REBAL
2024-03-04,2024-04-04,ARM,138.00999450683594,122.01000213623047,77.50293595090258,-11.593357733097333,STOP
2024-04-03,2024-04-09,SMCI,101.55699920654297,90.41999816894531,100.43997622637833,-10.966256510737999,STOP
2024-04-03,2024-04-18,VST,72.77694702148438,65.001953125,140.15952857868933,-10.683319670154797,STOP
2024-04-03,2024-04-19,NVDA,88.913818359375,76.15702819824219,114.72212951983721,-14.347365118852471,STOP
2024-05-02,2024-05-24,VST,78.80551147460938,100.73921966552734,124.3842456429114,27.83270837343003,TAKE
2024-05-02,2024-06-03,SMCI,76.25199890136719,77.05899810791016,128.5496018268622,1.0583318708626004,REBAL
2024-04-03,2024-07-03,APP,72.86000061035156,86.95999908447266,139.99975981990704,19.352180010986494,REBAL
2024-05-02,2024-07-03,VRT,91.93783569335938,93.21015930175781,106.61730313041393,1.3838955407238684,REBAL
2024-05-02,2024-07-03,CEG,183.69549560546875,207.5835723876953,53.360938791475014,13.004171225587417,REBAL
2024-06-03,2024-07-03,DELL,127.80921173095703,138.1090545654297,81.28056439864775,8.058764071054748,REBAL
2024-06-03,2024-07-17,VST,92.0071792602539,75.37993621826172,112.90863330842419,-18.071680031576594,STOP
2024-07-03,2024-07-17,MU,135.86700439453125,118.77141571044922,77.2710265667278,-12.582590423823417,STOP
2024-07-03,2024-07-24,NVDA,128.21817016601562,114.1949462890625,81.88061717397842,-10.937002032392128,STOP
2024-07-03,2024-07-25,TER,150.6119842529297,123.4482192993164,69.70615889689621,-18.035593308428837,STOP
2024-07-03,2024-08-02,TLN,118.94000244140625,114.62999725341797,88.26788877260613,-3.6236800903981243,REBAL
2024-08-02,2024-08-07,RDDT,57.58000183105469,50.689998626708984,171.08232062046704,-11.965965587430235,STOP
2024-08-02,2024-08-19,CRDO,25.329999923706055,31.790000915527344,388.9032911274593,25.503359697113336,TAKE
2024-08-02,2024-09-03,NVDA,107.21829223632812,107.94795227050781,91.87723595591694,0.6805368925028086,REBAL
2024-08-02,2024-09-03,TSLA,207.6699981689453,210.60000610351562,47.43545250370533,1.4108961142218868,REBAL
2024-09-03,2024-09-05,CRDO,31.6299991607666,26.649999618530273,316.7585415007874,-15.744545287289949,STOP
2024-09-03,2024-09-19,TLN,138.27499389648438,175.36000061035156,72.45758701198027,26.819749304512584,TAKE
2024-08-02,2024-10-02,AAPL,217.97183227539062,225.09262084960938,45.193547403600746,3.2668388845867855,REBAL
2024-09-03,2024-10-02,ISRG,483.44000244140625,486.6199951171875,20.724541517537922,0.6577843496032728,REBAL
2024-09-03,2024-10-03,PLTR,30.510000228881836,39.2400016784668,328.38650693785155,28.61357385805863,TAKE
2024-10-02,2024-10-31,TLN,175.92999267578125,181.36000061035156,59.0224973381924,3.0864594785592883,REBAL
2024-10-02,2024-10-31,IOT,45.650001525878906,47.790000915527344,227.46609369833064,4.687840784485572,REBAL
2024-10-02,2024-10-31,IBM,209.77207946777344,197.35166931152344,49.50052242777018,-5.920907199739184,REBAL
2024-10-31,2024-11-04,LEU,103.80999755859375,78.0,102.72362289891869,-24.862728220396832,STOP
2024-10-02,2024-11-05,GEV,251.35671997070312,314.60186767578125,41.31111961369004,25.161510586408696,TAKE
2024-10-31,2024-11-06,PLTR,41.560001373291016,55.529998779296875,256.5865902304763,33.614044620758435,TAKE
2024-10-31,2024-11-07,APP,169.38999938964844,246.52999877929688,62.9537698847074,45.53987819092142,TAKE
2024-10-31,2024-11-08,AAOI,15.619999885559082,27.760000228881836,682.6977669958524,77.72087344601303,TAKE
2024-12-02,2024-12-05,AAOI,40.7400016784668,34.47999954223633,297.73085438082535,-15.365738532944647,STOP
2024-12-02,2024-12-09,LEU,82.47000122070312,72.61000061035156,147.07839611576478,-11.955863301086413,STOP
2024-12-02,2024-12-10,OKLO,22.229999542236328,18.420000076293945,545.6390354017052,-17.138999300038215,STOP
2024-12-02,2024-12-10,NNE,28.0,23.350000381469727,433.1984109716492,-16.607141494750977,STOP
