entry_date,exit_date,ticker,entry_price,exit_price,shares,pnl_pct,reason
2021-01-04,2021-02-03,NET,74.58999633789062,82.33999633789062,134.0662352991717,10.390133235685807,REBAL
2021-01-04,2021-02-03,MU,72.22003173828125,77.15496063232422,138.46573809658628,6.833185717678298,REBAL
2021-01-04,2021-02-03,UBER,51.13999938964844,57.119998931884766,195.54165270530217,11.69338993665842,REBAL
2021-01-04,2021-02-08,LEU,21.34000015258789,27.6299991607666,468.6035580363998,29.475159152779696,TAKE
2021-01-04,2021-02-11,COHR,76.01000213623047,99.58000183105469,131.56163292927286,31.009076479935377,TAKE
2021-02-03,2021-02-16,PLTR,31.760000228881836,27.84000015258789,333.2155049533366,-12.342569420793595,STOP
2021-02-03,2021-02-22,TSLA,284.89666748046875,238.1666717529297,37.146536697592175,-16.402436764460457,STOP
2021-02-03,2021-03-26,AMAT,95.40229034423828,123.11846923828125,110.9294596114913,29.05190094916506,TAKE
2021-03-05,2021-04-06,LEU,23.5,23.889999389648438,456.8505539838852,1.659571870844415,REBAL
2021-03-05,2021-04-06,PLTR,23.950000762939453,23.270000457763672,448.2667088359476,-2.8392496180126336,REBAL
2021-03-05,2021-04-06,TSLA,199.31666564941406,230.5399932861328,53.86397561709795,15.665186618984833,REBAL
2021-03-05,2021-04-06,CRWD,183.1199951171875,194.3800048828125,58.62815806515731,6.148978847678084,REBAL
2021-04-06,2021-04-26,INTC,59.62765884399414,53.44295883178711,186.47032464187143,-10.372199969125521,STOP
2021-04-06,2021-05-05,WDC,54.80500793457031,51.61394119262695,202.87906746676614,-5.822582392019825,REBAL
2021-04-06,2021-05-05,MU,91.17958068847656,83.04568481445312,121.94384771589058,-8.920742794171913,REBAL
2021-04-06,2021-05-10,AMAT,133.55064392089844,119.3380126953125,83.2552249531643,-10.642128565103757,STOP
2021-04-06,2021-06-04,HPE,13.756609916687012,14.01584529876709,808.2506496594816,1.8844423419001,REBAL
2021-05-05,2021-06-17,PWR,96.56368255615234,86.41943359375,111.51835024016015,-10.5052424409181,STOP
2021-05-05,2021-07-06,STX,75.66670227050781,73.82044982910156,142.31653089993145,-2.439980051999509,REBAL
