date,equity,cash,n_positions,return,dd
1999-01-04,100000.0,50000.0,5,0.0,0.0
1999-01-05,103558.47937790774,50000.0,5,0.03558479377907742,0.0
1999-01-06,106785.08191764538,50000.0,5,0.03115729932614264,0.0
1999-01-07,108966.32068445503,76044.18809750503,3,0.020426437173048706,0.0
1999-01-08,109248.44933758143,76044.18809750503,3,0.0025891362703105436,0.0
1999-01-11,111246.40101475957,76044.18809750503,3,0.018288146781876957,0.0
1999-01-12,111333.8548043787,76044.18809750503,3,0.0007861269112654501,0.0
1999-01-13,109905.5544071846,76044.18809750503,3,-0.012828985394458203,0.012828985394458203
1999-01-14,107991.91549060296,84079.90238321932,2,-0.017411667016317245,0.03001727838892998
1999-01-15,110137.70859002373,110137.70859002373,0,0.01986994201994219,0.01074377795017234
1999-01-19,110137.70859002373,110137.70859002373,0,0.0,0.01074377795017234
1999-01-20,110137.70859002373,110137.70859002373,0,0.0,0.01074377795017234
1999-01-21,110137.70859002373,110137.70859002373,0,0.0,0.01074377795017234
1999-01-22,110137.70859002373,110137.70859002373,0,0.0,0.01074377795017234
1999-01-25,110137.70859002373,110137.70859002373,0,0.0,0.01074377795017234
1999-01-26,110137.70859002373,110137.70859002373,0,0.0,0.01074377795017234
1999-01-27,110137.70859002373,110137.70859002373,0,0.0,0.01074377795017234
1999-01-28,110137.70859002373,110137.70859002373,0,0.0,0.01074377795017234
1999-01-29,110137.70859002373,110137.70859002373,0,0.0,0.01074377795017234
1999-02-01,110137.70859002373,110137.70859002373,0,0.0,0.01074377795017234
1999-02-02,110137.70859002373,110137.70859002373,0,0.0,0.01074377795017234
1999-02-03,110137.70859002373,55068.85429501188,5,0.0,0.01074377795017234
1999-02-04,108630.51789555635,55068.85429501188,5,-0.013684601883971914,0.024281355510166303
1999-02-05,106294.31112453129,64962.766696863895,4,-0.021505989442775375,0.04526515037768375
1999-02-08,106760.44270152751,84279.20665097403,2,0.00438529185677794,0.04107835941625293
1999-02-09,105254.30602654503,84279.20665097403,2,-0.014107628601664923,0.054606469779707734
1999-02-10,105611.7547075212,84279.20665097403,2,0.0033960480522861047,0.051395867922759186
1999-02-11,106154.57218117018,84279.20665097403,2,0.005139744862229012,0.0465202847086259
1999-02-12,105981.68731823869,84279.20665097403,2,-0.0016286143816437448,0.04807313548555503
1999-02-16,106925.27011530755,84279.20665097403,2,0.00890326263853014,0.039597880598110424
1999-02-17,106049.4864284081,84279.20665097403,2,-0.008190614678410535,0.04746416429446021
1999-02-18,105783.05203839428,84279.20665097403,2,-0.0025123590786427785,0.04985727634902759
1999-02-19,105363.65996687337,84279.20665097403,2,-0.003964643328391526,0.053624253359370155
1999-02-22,105876.13334139723,84279.20665097403,2,0.004863853198389112,0.049021220657194164
1999-02-23,105591.52576254548,84279.20665097403,2,-0.00268811836879268,0.05157756418227766
1999-02-24,105663.74692159612,84279.20665097403,2,0.0006839673783392008,0.05092887417529335
1999-02-25,104992.45646897168,84279.20665097403,2,-0.006353082037896529,0.05695840089745652
1999-02-26,102941.59375475798,102941.59375475798,0,-0.019533429192789553,0.07537923719938111
1999-03-01,102941.59375475798,102941.59375475798,0,0.0,0.07537923719938111
1999-03-02,102941.59375475798,102941.59375475798,0,0.0,0.07537923719938111
1999-03-03,102941.59375475798,102941.59375475798,0,0.0,0.07537923719938111
1999-03-04,102941.59375475798,102941.59375475798,0,0.0,0.07537923719938111
1999-03-05,102941.59375475798,51470.79687737896,5,0.0,0.07537923719938111
1999-03-08,104997.55374953212,51470.79687737896,5,0.019972101847112844,0.05691261715477203
1999-03-09,103412.97644686574,51470.79687737896,5,-0.015091564003922753,0.07114528075427273
1999-03-10,106229.94051486894,51470.79687737896,5,0.027239947681523047,0.04584332679828329
1999-03-11,104683.70941132966,51470.79687737896,5,-0.01455551133743549,0.05973156507276067
1999-03-12,101404.40089119339,59324.60183655422,4,-0.03132587236903317,0.089186294057922
1999-03-15,101751.36902479862,59324.60183655422,4,0.0034216279624543766,0.08606982841308397
1999-03-16,103266.14208735275,59324.60183655422,4,0.01488700424448286,0.07246414606950846
1999-03-17,103590.71065853894,59324.60183655422,4,0.003143029889812521,0.06954887315673208
1999-03-18,103698.8573568558,59324.60183655422,4,0.0010439806583946165,0.06857750017672626
1999-03-19,102363.21956064594,59324.60183655422,4,-0.012879966378159469,0.08057419065831128
1999-03-22,101049.96879007749,59324.60183655422,4,-0.012829322643475582,0.09236980101309444
1999-03-23,98741.34763129614,59324.60183655422,4,-0.022846332229723987,0.11310582208087971
1999-03-24,98883.50670024767,59324.60183655422,4,0.0014397116543554134,0.11182895019674977
1999-03-25,102057.75594612048,59324.60183655422,4,0.03210089682089379,0.08331786296771071
1999-03-26,100384.54362894817,59324.60183655422,4,-0.016394759042670404,0.09834664572307517
1999-03-29,103212.07717899684,59324.60183655422,4,0.02816702101570634,0.07294975674427495
1999-03-30,104428.79682657152,73277.8497519583,3,0.011788539489080874,0.062021188343292843
1999-03-31,103590.73844746934,73277.8497519583,3,-0.008025165515350818,0.06954862355672997
1999-04-01,106270.29268574485,73277.8497519583,3,0.025866735563761845,0.04548088384733362
1999-04-05,106341.71368921618,73277.8497519583,3,0.0006720693212216577,0.044839380832847775
1999-04-06,106712.98882739895,53632.109581749915,5,0.003491340559621081,0.04150458982219685
1999-04-07,105760.3470235318,53632.109581749915,5,-0.008927140119821653,0.05006121265305996
1999-04-08,107494.67708742237,53632.109581749915,5,0.016398679776501668,0.03448347067207935
1999-04-09,107449.04564541539,53632.109581749915,5,-0.00042449954959045133,0.0348933320039011
1999-04-12,108104.30671320943,53632.109581749915,5,0.0060983423711031826,0.029007781117826315
1999-04-13,107071.50067307611,53632.109581749915,5,-0.00955379181028615,0.03828443862643438
1999-04-14,104985.51201455142,53632.109581749915,5,-0.019482202504043422,0.05702077594440391
1999-04-15,104716.29328883206,62738.62859997714,4,-0.0025643416939477026,0.05943889688517612
1999-04-16,104681.35767587472,62738.62859997714,4,-0.00033362155840432894,0.059752688346171756
1999-04-19,100561.33645040377,81125.98188407597,2,-0.039357735865709564,0.09675869368668666
1999-04-20,100397.04043848613,90242.51078913384,1,-0.0016337890656283882,0.0982343994565652
1999-04-21,100681.26480896621,90242.51078913384,1,0.0028310034761853675,0.09568149790672231
1999-04-22,100862.13597882722,90242.51078913384,1,0.0017964729605275398,0.09405691417000706
1999-04-23,101688.96869042274,90242.51078913384,1,0.00819765220686075,0.08663030783316261
1999-04-26,101766.47890696328,90242.51078913384,1,0.0007622283669384,0.08593411154429131
1999-04-27,101378.90456615639,90242.51078913384,1,-0.003808467630694201,0.08941530189279667
1999-04-28,100887.97185626281,90242.51078913384,1,-0.004842552915663156,0.09382485647757399
1999-04-29,100164.49557557862,90242.51078913384,1,-0.007171085585058079,0.10032311598682553
1999-04-30,100164.49557557862,90242.51078913384,1,0.0,0.10032311598682553
1999-05-03,100112.8180061814,90242.51078913384,1,-0.0005159270168562102,0.10078728359772893
1999-05-04,100397.04043848613,90242.51078913384,1,0.002839021395713459,0.0982343994565652
1999-05-05,100887.97185626281,49887.3220466287,5,0.004889899300144052,0.09382485647757399
1999-05-06,99758.96352182576,49887.3220466287,5,-0.011190712962746208,0.10396560240270869
1999-05-07,99603.1994464646,59473.40489319618,4,-0.0015614043075646844,0.10536467437084329
1999-05-10,100825.82357308583,59473.40489319618,4,0.012274948329128454,0.09438307197533236
1999-05-11,101259.21974738027,59473.40489319618,4,0.0042984640138374886,0.09049031019989617
1999-05-12,101593.3873661482,59473.40489319618,4,0.0033001204196676515,0.08748881870070135
1999-05-13,100981.24642208559,59473.40489319618,4,-0.006025401455081236,0.09298706490027997
1999-05-14,100066.80485377874,59473.40489319618,4,-0.009055558340849035,0.10120057344998024
1999-05-17,100172.06336349327,59473.40489319618,4,0.0010518823886536133,0.10025514216226028
1999-05-18,99530.80293397504,59473.40489319618,4,-0.006401589504963168,0.10601493940133888
1999-05-19,100628.55579848716,59473.40489319618,4,0.011029277692457873,0.09615492991508734
1999-05-20,100157.48434276809,81282.2847257436,2,-0.0046812900372177335,0.10038609083686423
1999-05-21,99992.57809372482,90293.14146496975,1,-0.0016464695586693168,0.10186727775285687
1999-05-24,100129.70927775081,90293.14146496975,1,0.0013714136252938047,0.10063556630024495
1999-05-25,100038.29147530184,90293.14146496975,1,-0.0009129937868428417,0.10145668044032019
1999-05-26,99946.86471214781,90293.14146496975,1,-0.0009139176789779713,0.10227787506539332
1999-05-27,99864.59716814931,90293.14146496975,1,-0.0008231128033424628,0.10301680164027083
