date,equity,cash,n_positions,return,dd
2021-01-04,100000.0,50000.0,5,0.0,0.0
2021-01-05,101408.03425859922,50000.0,5,0.014080342585992112,0.0
2021-01-06,101430.31310981727,50000.0,5,0.0002196951294928251,0.0
2021-01-07,103649.34899190399,50000.0,5,0.021877442887159315,0.0
2021-01-08,102663.70917421173,50000.0,5,-0.009509368146337738,0.009509368146337738
2021-01-11,102981.8263835744,50000.0,5,0.003098633508583415,0.0064402006845381
2021-01-12,104009.14182097926,50000.0,5,0.009975696426070657,0.0
2021-01-13,105040.82112914295,50000.0,5,0.009919121435877365,0.0
2021-01-14,106100.23357548939,50000.0,5,0.010085721293476402,0.0
2021-01-15,105447.327641948,50000.0,5,-0.006153671029167529,0.006153671029167529
2021-01-19,106844.32983049913,50000.0,5,0.013248341326342006,0.0
2021-01-20,106097.96650148075,50000.0,5,-0.006985521180229548,0.006985521180229548
2021-01-21,106151.1029949886,50000.0,5,0.0005008248061673104,0.006488194896353328
2021-01-22,105622.92725671447,50000.0,5,-0.0049756971276979645,0.011431608731341525
2021-01-25,104661.29418096694,50000.0,5,-0.00910439712970923,0.02043192795532922
2021-01-26,102867.6214346374,50000.0,5,-0.017137880439622166,0.03721964845650205
2021-01-27,100229.45291220726,50000.0,5,-0.02564624792171799,0.06191135204634546
2021-01-28,102824.88134559419,50000.0,5,0.02589486780557726,0.0376196705176729
2021-01-29,101384.06026797763,50000.0,5,-0.014012377731552728,0.051104907215795414
2021-02-01,103783.41485906462,50000.0,5,0.02366599428692262,0.028648361371075404
2021-02-02,104951.42791642783,50000.0,5,0.011254332486065666,0.017716447069060726
2021-02-03,105829.24513584946,51142.897348247396,5,0.00836403312321421,0.009500594895957781
2021-02-04,107420.77190348416,51142.897348247396,5,0.015038629119878077,0.0
2021-02-05,107507.20413659347,51142.897348247396,5,0.0008046137779289531,0.0
2021-02-08,109719.9535790482,64090.41326352536,4,0.020582336413877078,0.0
2021-02-09,110864.9551900184,64090.41326352536,4,0.010435673490740927,0.0
2021-02-10,109590.83910019428,64090.41326352536,4,-0.01149250534256141,0.01149250534256141
2021-02-11,110248.47656045813,77191.3209115189,3,0.006000843370335129,0.005560626696719861
2021-02-12,110295.91806929148,77191.3209115189,3,0.00043031441624807876,0.00513270509830277
2021-02-16,108868.17559992237,86468.04062026444,2,-0.012944653749308865,0.01801091775731678
2021-02-17,108612.31891176855,86468.04062026444,2,-0.0023501513343445746,0.020318740709261207
2021-02-18,108237.35846230132,86468.04062026444,2,-0.0034522828830478858,0.02370087755155348
2021-02-19,108801.05476338076,86468.04062026444,2,0.0052079643210785065,0.01861634655514177
2021-02-22,107525.68533369995,95315.10763267803,1,-0.011722031853960146,0.03012015700177817
2021-02-23,107622.11556004985,95315.10763267803,1,0.0008968110833298404,0.029250358009079158
2021-02-24,108353.61254178754,95315.10763267803,1,0.006796902085887124,0.022652267742556798
2021-02-25,107410.83993010636,95315.10763267803,1,-0.008700887672919988,0.031156060578311773
2021-02-26,107863.12003465713,95315.10763267803,1,0.004210749165029171,0.027076501769348504
2021-03-01,108294.15993040762,95315.10763267803,1,0.003996174926258478,0.023188529280551595
2021-03-02,107789.86217619789,95315.10763267803,1,-0.004656740072907062,0.02773728639992612
2021-03-03,107571.1549698319,95315.10763267803,1,-0.0020290146211382476,0.029710021661408237
2021-03-04,106806.74527023814,95315.10763267803,1,-0.007106084338390994,0.03660498408017787
2021-03-05,107359.88018621302,52371.155558192826,5,0.005178838795015794,0.03161571659680751
2021-03-08,104749.0468774882,52371.155558192826,5,-0.024318519210308254,0.055165388395708614
2021-03-09,109939.34194814807,52371.155558192826,5,0.049549807137914126,0.008349015613489996
2021-03-10,109857.94958322812,52371.155558192826,5,-0.0007403388402882349,0.00908317335324138
2021-03-11,112797.49644504726,52371.155558192826,5,0.026757707320872015,0.0
2021-03-12,112111.83413619123,52371.155558192826,5,-0.006078701482440052,0.006078701482440052
2021-03-15,113106.36744353484,52371.155558192826,5,0.008870903905964678,0.0
2021-03-16,111945.33424618414,52371.155558192826,5,-0.01026496760167206,0.01026496760167206
2021-03-17,112866.6516423946,52371.155558192826,5,0.008230065168989942,0.0021193837850014274
2021-03-18,110234.38114983868,52371.155558192826,5,-0.023321950764482513,0.02539190638519906
2021-03-19,111318.40928074953,52371.155558192826,5,0.00983384783951724,0.015807758689429185
2021-03-22,112139.11912804961,52371.155558192826,5,0.007372633624598501,0.008551669878073764
2021-03-23,110410.40997628309,52371.155558192826,5,-0.015415754691211259,0.023835594124244408
2021-03-24,108511.98119935601,52371.155558192826,5,-0.01719429152862373,0.040620049498737876
2021-03-25,108306.73903845997,52371.155558192826,5,-0.001891423957313787,0.04243464372128247
2021-03-26,108645.53572995897,66028.62081898938,4,0.0031281219848997566,0.03943926247832874
2021-03-29,107458.73377794947,66028.62081898938,4,-0.010923614523465797,0.04993205770139142
2021-03-30,108556.94789861295,66028.62081898938,4,0.010219868428124279,0.04022248833332087
2021-03-31,109997.92718390605,66028.62081898938,4,0.01327394803544868,0.027482451517865103
2021-04-01,110194.972126559,66028.62081898938,4,0.0017913514163181432,0.025740330829997382
2021-04-05,110858.29691333423,66028.62081898938,4,0.006019555828857603,0.01987572035962426
2021-04-06,111187.88902274343,55593.944511371694,5,0.0029730937474790053,0.016961718992073105
2021-04-07,111223.35216509097,55593.944511371694,5,0.00031894788775321814,0.016648181008765195
2021-04-08,111532.13012246529,55593.944511371694,5,0.002776197186684204,0.013918202455360795
2021-04-09,111736.8680932059,55593.944511371694,5,0.001835686008290205,0.012108065896578424
